"","year","location_abbr","state","effective_date","geo_location"
"13161",2016,"NH","new hampshire","7/31/2010","(43.65595011300047, -71.50036091999965)"
"13162",2016,"OH","ohio","8/2/2014","(40.06021014100048, -82.40426005599966)"
"13163",2016,"IL","illinois",NA,"(40.48501028300046, -88.99771017799969)"
"13164",2016,"OH","ohio","8/2/2014","(40.06021014100048, -82.40426005599966)"
"13165",2016,"OK","oklahoma","11/1/2014","(35.47203135600046, -97.52107021399968)"
"13166",2016,"MN","minnesota","8/1/2010","(46.35564873600049, -94.79420050299967)"
"13167",2016,"CT","connecticut","10/1/2014","(41.56266102000046, -72.64984095199964)"
"13168",2016,"OK","oklahoma","11/1/2014","(35.47203135600046, -97.52107021399968)"
"13169",2016,"WV","west virginia","6/6/2014","(38.66551020200046, -80.71264013499967)"
"13170",2016,"WI","wisconsin",NA,"(44.39319117400049, -89.81637074199966)"
"13171",2016,"UT","utah","5/11/2010","(39.360700171000474, -111.58713063499971)"
"13172",2016,"MD","maryland",NA,"(39.29058096400047, -76.60926011099963)"
"13173",2016,"IL","illinois",NA,"(40.48501028300046, -88.99771017799969)"
"13174",2016,"WI","wisconsin",NA,"(44.39319117400049, -89.81637074199966)"
"13175",2016,"NC","north carolina","8/1/2013","(35.466220975000454, -79.15925046299964)"
"13176",2016,"AZ","arizona",NA,"(34.865970280000454, -111.76381127699972)"
