"","year","location_abbr","state","effective_date","geo_location"
"12901",2016,"FL","florida","7/1/2014","(28.932040377000476, -81.92896053899966)"
"12902",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"12903",2016,"ND","north dakota","8/1/2015","(47.47531977900047, -100.11842104899966)"
"12904",2016,"CO","colorado","3/25/2011","(38.843840757000464, -106.13361092099967)"
"12905",2016,"OH","ohio","8/2/2014","(40.06021014100048, -82.40426005599966)"
"12906",2016,"HI","hawaii","6/27/2013","(21.304850435000446, -157.85774940299973)"
"12907",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"12908",2016,"NY","new york","1/1/2013","(42.82700103200045, -75.54397042699964)"
"12909",2016,"MS","mississippi","7/1/2013","(32.745510099000455, -89.53803082499968)"
"12910",2016,"SD","south dakota",NA,"(44.353130053000484, -100.3735306369997)"
"12911",2016,"AZ","arizona","9/13/2013","(34.865970280000454, -111.76381127699972)"
"12912",2016,"AR","arkansas","5/1/2015","(34.74865012400045, -92.27449074299966)"
"12913",2016,"FL","florida","7/1/2014","(28.932040377000476, -81.92896053899966)"
"12914",2016,"NE","nebraska","4/9/2014","(41.6410409880005, -99.36572062299967)"
"12915",2016,"IA","iowa","7/1/2014","(42.46940091300047, -93.81649055599968)"
"12916",2016,"LA","louisiana",NA,"(31.31266064400046, -92.44568007099969)"
"12917",2016,"NY","new york","1/1/2013","(42.82700103200045, -75.54397042699964)"
"12918",2016,"DE","delaware",NA,"(39.008830667000495, -75.57774116799965)"
"12919",2016,"IA","iowa",NA,"(42.46940091300047, -93.81649055599968)"
"12920",2016,"CA","california",NA,"(37.63864012300047, -120.99999953799971)"
"12921",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"12922",2016,"OK","oklahoma","11/1/2014","(35.47203135600046, -97.52107021399968)"
"12923",2016,"WY","wyoming",NA,"(43.23554134300048, -108.10983035299967)"
"12924",2016,"TX","texas","10/1/2015","(31.827240407000488, -99.42677020599967)"
"12925",2016,"TN","tennessee",NA,"(35.68094058000048, -85.77449091399967)"
"12926",2016,"MD","maryland",NA,"(39.29058096400047, -76.60926011099963)"
"12927",2016,"TN","tennessee","7/1/2015","(35.68094058000048, -85.77449091399967)"
"12928",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"12929",2016,"MN","minnesota","8/1/2010","(46.35564873600049, -94.79420050299967)"
"12930",2016,"CA","california","6/9/2016","(37.63864012300047, -120.99999953799971)"
"12931",2016,"NC","north carolina",NA,"(35.466220975000454, -79.15925046299964)"
"12932",2016,"FL","florida",NA,"(28.932040377000476, -81.92896053899966)"
"12933",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"12934",2016,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"12935",2016,"FL","florida","7/1/2014","(28.932040377000476, -81.92896053899966)"
"12936",2016,"MD","maryland","10/1/2012","(39.29058096400047, -76.60926011099963)"
"12937",2016,"DE","delaware","6/12/2014","(39.008830667000495, -75.57774116799965)"
"12938",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"12939",2016,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"12940",2016,"AK","alaska",NA,"(64.84507995700051, -147.72205903599973)"
"12941",2016,"WV","west virginia","6/6/2014","(38.66551020200046, -80.71264013499967)"
"12942",2016,"RI","rhode island","7/1/2014","(41.70828019300046, -71.52247031399963)"
"12943",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"12944",2016,"AK","alaska",NA,"(64.84507995700051, -147.72205903599973)"
"12945",2016,"AL","alabama",NA,"(32.84057112200048, -86.63186076199969)"
"12946",2016,"NC","north carolina",NA,"(35.466220975000454, -79.15925046299964)"
"12947",2016,"ND","north dakota","8/1/2015","(47.47531977900047, -100.11842104899966)"
"12948",2016,"CT","connecticut","10/1/2014","(41.56266102000046, -72.64984095199964)"
"12949",2016,"AL","alabama","8/1/2013","(32.84057112200048, -86.63186076199969)"
"12950",2016,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"12951",2016,"NY","new york",NA,"(42.82700103200045, -75.54397042699964)"
"12952",2016,"PA","pennsylvania",NA,"(40.79373015200048, -77.86070029399963)"
"12953",2016,"OH","ohio",NA,"(40.06021014100048, -82.40426005599966)"
"12954",2016,"MI","michigan",NA,"(44.6613195430005, -84.71439026999968)"
"12955",2016,"VA","virginia",NA,"(37.54268067400045, -78.45789046299967)"
"12956",2016,"OH","ohio","8/2/2014","(40.06021014100048, -82.40426005599966)"
"12957",2016,"ID","idaho","7/1/2012","(43.682630005000476, -114.3637300419997)"
"12958",2016,"NV","nevada","10/1/2015","(39.493240390000494, -117.07184056399967)"
"12959",2016,"MD","maryland",NA,"(39.29058096400047, -76.60926011099963)"
"12960",2016,"MT","montana","1/1/2016","(47.06652897200047, -109.42442064499971)"
"12961",2016,"NY","new york",NA,"(42.82700103200045, -75.54397042699964)"
"12962",2016,"MS","mississippi","7/1/2013","(32.745510099000455, -89.53803082499968)"
"12963",2016,"SC","south carolina","6/7/2013","(33.998821303000454, -81.04537120699968)"
"12964",2016,"WY","wyoming",NA,"(43.23554134300048, -108.10983035299967)"
"12965",2016,"IL","illinois","1/1/2014","(40.48501028300046, -88.99771017799969)"
"12966",2016,"ID","idaho","7/1/2012","(43.682630005000476, -114.3637300419997)"
"12967",2016,"NY","new york","1/1/2013","(42.82700103200045, -75.54397042699964)"
"12968",2016,"DC","district of columbia",NA,"(38.89037138500049, -77.03196112699965)"
"12969",2016,"ID","idaho","7/1/2012","(43.682630005000476, -114.3637300419997)"
"12970",2016,"CA","california",NA,"(37.63864012300047, -120.99999953799971)"
"12971",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"12972",2016,"TN","tennessee",NA,"(35.68094058000048, -85.77449091399967)"
"12973",2016,"MD","maryland",NA,"(39.29058096400047, -76.60926011099963)"
"12974",2016,"KS","kansas","7/1/2012","(38.34774030000045, -98.20078122699965)"
"12975",2016,"IL","illinois",NA,"(40.48501028300046, -88.99771017799969)"
"12976",2016,"ID","idaho","7/1/2012","(43.682630005000476, -114.3637300419997)"
"12977",2016,"IL","illinois",NA,"(40.48501028300046, -88.99771017799969)"
"12978",2016,"CO","colorado","3/25/2011","(38.843840757000464, -106.13361092099967)"
"12979",2016,"MS","mississippi",NA,"(32.745510099000455, -89.53803082499968)"
"12980",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"12981",2016,"MT","montana","1/1/2016","(47.06652897200047, -109.42442064499971)"
"12982",2016,"ND","north dakota",NA,"(47.47531977900047, -100.11842104899966)"
"12983",2016,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"12984",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"12985",2016,"CT","connecticut","10/1/2014","(41.56266102000046, -72.64984095199964)"
"12986",2016,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"12987",2016,"DC","district of columbia",NA,"(38.89037138500049, -77.03196112699965)"
"12988",2016,"AK","alaska",NA,"(64.84507995700051, -147.72205903599973)"
"12989",2016,"KY","kentucky","4/10/2014","(37.645970271000465, -84.77497104799966)"
"12990",2016,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"12991",2016,"SC","south carolina","6/7/2013","(33.998821303000454, -81.04537120699968)"
"12992",2016,"NC","north carolina","8/1/2013","(35.466220975000454, -79.15925046299964)"
"12993",2016,"WI","wisconsin",NA,"(44.39319117400049, -89.81637074199966)"
"12994",2016,"HI","hawaii",NA,"(21.304850435000446, -157.85774940299973)"
"12995",2016,"LA","louisiana","5/28/2014","(31.31266064400046, -92.44568007099969)"
"12996",2016,"LA","louisiana","5/28/2014","(31.31266064400046, -92.44568007099969)"
"12997",2016,"SD","south dakota",NA,"(44.353130053000484, -100.3735306369997)"
"12998",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"12999",2016,"WV","west virginia","6/6/2014","(38.66551020200046, -80.71264013499967)"
"13000",2016,"ND","north dakota",NA,"(47.47531977900047, -100.11842104899966)"
"13001",2016,"TX","texas","10/1/2015","(31.827240407000488, -99.42677020599967)"
"13002",2016,"ND","north dakota","8/1/2015","(47.47531977900047, -100.11842104899966)"
"13003",2016,"MO","missouri","10/10/2014","(38.635790776000476, -92.56630005299968)"
"13004",2016,"VA","virginia","7/1/2014","(37.54268067400045, -78.45789046299967)"
"13005",2016,"CO","colorado","3/25/2011","(38.843840757000464, -106.13361092099967)"
"13006",2016,"CT","connecticut",NA,"(41.56266102000046, -72.64984095199964)"
"13007",2016,"VA","virginia",NA,"(37.54268067400045, -78.45789046299967)"
"13008",2016,"TN","tennessee",NA,"(35.68094058000048, -85.77449091399967)"
"13009",2016,"AK","alaska",NA,"(64.84507995700051, -147.72205903599973)"
"13010",2016,"MD","maryland",NA,"(39.29058096400047, -76.60926011099963)"
"13011",2016,"ME","maine",NA,"(45.254228894000505, -68.98503133599962)"
"13012",2016,"TN","tennessee",NA,"(35.68094058000048, -85.77449091399967)"
"13013",2016,"MA","massachusetts",NA,"(42.27687047000046, -72.08269067499964)"
"13014",2016,"OH","ohio",NA,"(40.06021014100048, -82.40426005599966)"
"13015",2016,"GA","georgia","7/1/2014","(32.83968109300048, -83.62758034599966)"
"13016",2016,"MA","massachusetts",NA,"(42.27687047000046, -72.08269067499964)"
"13017",2016,"KY","kentucky","4/10/2014","(37.645970271000465, -84.77497104799966)"
"13018",2016,"OR","oregon",NA,"(44.56744942400047, -120.15503132599969)"
"13019",2016,"FL","florida",NA,"(28.932040377000476, -81.92896053899966)"
"13020",2016,"KY","kentucky","4/10/2014","(37.645970271000465, -84.77497104799966)"
"13021",2016,"VT","vermont","7/1/2013","(43.62538123900049, -72.51764079099962)"
"13022",2016,"AL","alabama","8/1/2013","(32.84057112200048, -86.63186076199969)"
"13023",2016,"NE","nebraska",NA,"(41.6410409880005, -99.36572062299967)"
"13024",2016,"VT","vermont","7/1/2013","(43.62538123900049, -72.51764079099962)"
"13025",2016,"TX","texas","10/1/2015","(31.827240407000488, -99.42677020599967)"
"13026",2016,"CA","california","1/1/2016","(37.63864012300047, -120.99999953799971)"
"13027",2016,"WV","west virginia","6/6/2014","(38.66551020200046, -80.71264013499967)"
"13028",2016,"OR","oregon","5/26/2015","(44.56744942400047, -120.15503132599969)"
"13029",2016,"WA","washington","6/28/2016","(47.52227862900048, -120.47001078999972)"
"13030",2016,"IL","illinois","1/1/2014","(40.48501028300046, -88.99771017799969)"
